"","a_std","b_std","c_std","region","a","b","c","cluster"
"1",-0.237063601895421,-0.338781047493276,0.330417510700943,"Afghanistan",10000,0.09,78.9978513216812,4
"2",-0.237063601895421,-0.806701405169632,0.706120824546837,"Albania",10000,0.06,85.8825354650014,4
"3",-0.237063601895421,-0.338781047493276,-0.490522176126004,"Algeria",10000,0.09,63.954304362609,4
"4",-0.237063601895421,-0.806701405169632,0.802273033811609,"Andorra",10000,0.06,87.6445044604144,4
"5",-0.237063601895421,-0.338781047493276,0.923707486642607,"Angola",10000,0.09,89.869765247444,4
"6",-0.237063601895421,-0.0268341423757051,0.876193000138051,"Antigua and Barbuda",10000,0.11,88.9990722837133,4
"7",-0.237063601895421,-0.650727952610846,0.064799952493293,"Armenia",10000,0.07,74.1304654781543,4
"8",-0.237063601895421,-0.18280759493449,-0.122883974808137,"Australia",10000,0.1,70.6911970165026,4
"9",-0.237063601895421,-0.338781047493276,-0.305397307044398,"Azerbaijan",10000,0.09,67.3466786210462,4
"10",-0.237063601895421,-0.494754500052061,0.783010148465502,"Bahamas",10000,0.08,87.2915161411489,4
"11",-0.169744777540385,-0.650727952610846,0.773682910824627,"Bahrain",20000,0.07,87.1205964746978,4
"12",-0.237063601895421,-0.494754500052061,0.930811177554443,"Barbados",10000,0.08,89.9999388881264,4
"13",-0.237063601895421,-0.18280759493449,0.721146041382984,"Belize",10000,0.1,86.1578694008213,4
"14",-0.237063601895421,-0.18280759493449,0.744602316354043,"Benin",10000,0.1,86.587700702285,4
"15",-0.237063601895421,0.753033120418222,0.863757993710666,"Bhutan",10000,0.16,88.7712034084129,4
"16",-0.237063601895421,-0.338781047493276,-0.116778204242698,"Bolivia",10000,0.09,70.8030839768925,4
"17",-0.237063601895421,-0.650727952610846,-0.103947506163372,"Bosnia and Herzegovina",10000,0.07,71.0382038184244,4
"18",-0.237063601895421,-0.338781047493276,0.882601714991246,"Botswana",10000,0.09,89.1165106344087,4
"19",-0.237063601895421,-0.494754500052061,0.841329661295574,"Brunei",10000,0.08,88.3602089379126,4
"20",-0.237063601895421,-0.806701405169632,0.337756536091866,"Bulgaria",10000,0.06,79.1323374171566,4
"21",-0.237063601895421,-0.806701405169632,0.618212857922665,"Burkina Faso",10000,0.06,84.2716404806223,4
"22",0.974675236495218,0.12913931018308,0.663689732024031,"Burma",190000,0.12,85.1049946259676,4
"23",-0.237063601895421,-0.0268341423757051,0.668280997485498,"Burundi",10000,0.11,85.1891285991199,4
"24",-0.0351071288303142,0.753033120418222,0.0281367487859046,"Canada",40000,0.16,73.458619987563,4
"25",-0.237063601895421,0.12913931018308,0.848083859271163,"Central African Republic",10000,0.12,88.4839781941041,4
"26",-0.237063601895421,-0.18280759493449,0.488209644837632,"Chad",10000,0.1,81.8893589656013,4
"27",0.0995305198797568,-0.0268341423757051,0.897272400594366,"Congo (Brazzaville)",60000,0.11,89.3853478600097,4
"28",-0.237063601895421,-0.650727952610846,0.757341471806645,"Congo (Kinshasa)",10000,0.07,86.8211430444513,4
"29",-0.237063601895421,-0.806701405169632,0.644730230298574,"Costa Rica",10000,0.06,84.7575657476904,4
"30",-0.237063601895421,-0.338781047493276,-0.434250658945791,"Cote d'Ivoire",10000,0.09,64.9854680701777,4
"31",-0.237063601895421,-0.650727952610846,-0.0408434511584963,"Croatia",10000,0.07,72.1945723434289,4
"32",-0.237063601895421,-0.650727952610846,0.0636047613164988,"Cyprus",10000,0.07,74.1085638514189,4
"33",-0.237063601895421,-1.1186483102872,0.398342966578703,"Diamond Princess",10000,0.04,80.2425710028103,4
"34",-0.237063601895421,-0.338781047493276,0.930811585972275,"Dominica",10000,0.09,89.9999463722972,4
"35",-0.237063601895421,-0.338781047493276,0.0215904375934862,"Egypt",10000,0.09,73.3386602129144,4
"36",-0.237063601895421,-0.338781047493276,-0.298904104747387,"El Salvador",10000,0.09,67.4656651863655,4
"37",0.0322116955247213,0.12913931018308,0.873697603643736,"Equatorial Guinea",50000,0.12,88.9533446682184,4
"38",-0.237063601895421,-0.494754500052061,0.930810966777201,"Eritrea",10000,0.08,89.9999350256778,4
"39",-0.237063601895421,-0.806701405169632,0.257467785144661,"Estonia",10000,0.06,77.6610629562666,4
"40",-0.237063601895421,-0.0268341423757051,0.930812090093384,"Eswatini",10000,0.11,89.9999556102104,4
"41",-0.237063601895421,-0.338781047493276,0.7139649536677,"Ethiopia",10000,0.09,86.0262774800072,4
"42",-0.237063601895421,-0.18280759493449,0.672236915924228,"Fiji",10000,0.1,85.2616199718166,4
"43",-0.237063601895421,-0.494754500052061,0.697711899524971,"Finland",10000,0.08,85.7284436839953,4
"44",-0.237063601895421,-0.0268341423757051,0.19921566706402,"Gabon",10000,0.11,76.5936051541001,4
"45",-0.237063601895421,-0.0268341423757051,0.702142592620346,"Gambia",10000,0.11,85.8096352023383,4
"46",-0.237063601895421,-0.338781047493276,0.765887485049456,"Georgia",10000,0.09,86.9777469382501,4
"47",-0.10242595318535,-0.18280759493449,-0.146413537178316,"Ghana",30000,0.1,70.2600227388765,4
"48",-0.237063601895421,-0.806701405169632,-0.193802728230572,"Greece",10000,0.06,69.3916257879354,4
"49",-0.237063601895421,-0.18280759493449,0.746744478121878,"Grenada",10000,0.1,86.6269553657706,4
"50",-0.237063601895421,-0.18280759493449,-0.0505665599927309,"Guatemala",10000,0.1,72.0163984206876,4
"51",-0.237063601895421,-0.494754500052061,0.930528957773926,"Guinea-Bissau",10000,0.08,89.9947672700537,4
"52",-0.237063601895421,-0.18280759493449,0.753741024555894,"Guyana",10000,0.1,86.7551656064501,4
"53",-0.237063601895421,-0.494754500052061,0.925475820098895,"Haiti",10000,0.08,89.9021695858087,4
"54",-0.237063601895421,0.597059667859436,0.850357513084836,"Holy See",10000,0.15,88.5256424216515,4
"55",-0.237063601895421,-0.650727952610846,0.381422925399287,"Honduras",10000,0.07,79.9325148097472,4
"56",-0.237063601895421,-0.962674857728417,0.248032507708963,"Iceland",10000,0.05,77.488163483317,4
"57",-0.10242595318535,0.753033120418222,0.281261381713963,"India",30000,0.16,78.0970756050143,4
"58",-0.237063601895421,-0.806701405169632,0.446820468114834,"Iraq",10000,0.06,81.1309110142867,4
"59",-0.237063601895421,-0.338781047493276,0.5994591683491,"Jamaica",10000,0.09,83.9279830667065,4
"60",-0.169744777540385,0.12913931018308,0.766318350493305,"Japan",20000,0.12,86.9856424568145,4
"61",-0.237063601895421,-0.650727952610846,0.770386560579843,"Jordan",10000,0.07,87.0601915503207,4
"62",-0.237063601895421,-0.650727952610846,0.766836064337323,"Kenya",10000,0.07,86.995129454031,4
"63",-0.237063601895421,-0.338781047493276,-0.10089586022209,"Kuwait",10000,0.09,71.0941245879484,4
"64",-0.237063601895421,-0.338781047493276,-0.554286076624487,"Kyrgyzstan",10000,0.09,62.785844307827,4
"65",-0.237063601895421,-0.338781047493276,0.930810589899338,"Laos",10000,0.09,89.9999281194703,4
"66",-0.237063601895421,-0.806701405169632,0.772576049659236,"Latvia",10000,0.06,87.1003134768285,4
"67",-0.237063601895421,-0.650727952610846,0.930811742246889,"Lebanon",10000,0.07,89.9999492359966,4
"68",-0.237063601895421,0.12913931018308,-0.00116458639362128,"Liberia",10000,0.12,72.9216791881232,4
"69",-0.237063601895421,-0.338781047493276,0.548303934191845,"Libya",10000,0.09,82.9905741685919,4
"70",-0.237063601895421,-0.18280759493449,0.905781084795714,"Liechtenstein",10000,0.1,89.5412677069812,4
"71",-0.237063601895421,-0.650727952610846,0.175283880889187,"Lithuania",10000,0.07,76.155060209919,4
"72",-0.237063601895421,-0.650727952610846,0.655784159928034,"Madagascar",10000,0.07,84.9601266813758,4
"73",-0.237063601895421,-0.338781047493276,0.721119118786377,"Malawi",10000,0.09,86.1573760499055,4
"74",-0.237063601895421,-0.494754500052061,0.387041334406664,"Malaysia",10000,0.08,80.0354709721718,4
"75",-0.237063601895421,-0.0268341423757051,0.930810370883589,"Maldives",10000,0.11,89.9999241060528,4
"76",1.58054465569054,-0.0268341423757051,0.915776854789852,"Mali",280000,0.11,89.7244380880845,4
"77",-0.237063601895421,-0.650727952610846,0.627336598286381,"Malta",10000,0.07,84.4388311023042,4
"78",-0.237063601895421,0.285112762741866,0.848765615030841,"Mauritania",10000,0.13,88.4964712248954,4
"79",-0.237063601895421,-0.806701405169632,0.646338615600969,"Mauritius",10000,0.06,84.787039069803,4
"80",-0.237063601895421,-0.0268341423757051,0.858686881461211,"Monaco",10000,0.11,88.6782763438751,4
"81",-0.237063601895421,-0.0268341423757051,0.930810143399585,"Mongolia",10000,0.11,89.9999199374563,4
"82",-0.237063601895421,-0.806701405169632,0.808037781735517,"Montenegro",10000,0.06,87.7501422526811,4
"83",-0.237063601895421,-0.338781047493276,0.737375076274178,"Mozambique",10000,0.09,86.4552630491047,4
"84",-0.237063601895421,-0.18280759493449,0.817883451745443,"MS Zaandam",10000,0.1,87.9305620831687,4
"85",-0.237063601895421,-0.0268341423757051,0.930810066438919,"Namibia",10000,0.11,89.9999185271683,4
"86",-0.237063601895421,-1.74254212052234,0.930810241165122,"Nepal",10000,0,89.9999217289892,4
"87",-0.237063601895421,-0.650727952610846,0.00403266729387954,"New Zealand",10000,0.07,73.0169177679613,4
"88",-0.237063601895421,-0.18280759493449,0.930809993551463,"Nicaragua",10000,0.1,89.999917191521,4
"89",-0.237063601895421,-0.338781047493276,0.456749104706746,"Nigeria",10000,0.09,81.3128511899253,4
"90",-0.237063601895421,-0.494754500052061,0.220913636412613,"North Macedonia",10000,0.08,76.9912158751431,4
"91",-0.237063601895421,-0.0268341423757051,-0.0328790197663105,"Oman",10000,0.11,72.3405188722339,4
"92",-0.237063601895421,0.12913931018308,0.700819911007588,"Papua New Guinea",10000,0.12,85.7853973401997,4
"93",-0.237063601895421,-0.494754500052061,0.863902912810015,"Paraguay",10000,0.08,88.773859020404,4
"94",-0.237063601895421,-0.0268341423757051,0.0707358047497383,"Philippines",10000,0.11,74.2392387212985,4
"95",-0.10242595318535,-0.18280759493449,-0.427912910669112,"Qatar",30000,0.1,65.1016059732964,4
"96",1.10931288520529,0.753033120418222,0.803780775684846,"Russia",210000,0.16,87.6721335128724,4
"97",-0.237063601895421,-0.494754500052061,0.666846377287776,"Rwanda",10000,0.08,85.1628394859741,4
"98",-0.237063601895421,-0.18280759493449,0.783150794791104,"Saint Kitts and Nevis",10000,0.1,87.2940934554605,4
"99",-0.237063601895421,-0.0268341423757051,0.930811598570172,"Saint Lucia",10000,0.11,89.999946603151,4
"100",-0.237063601895421,0.12913931018308,0.885013077460406,"Saint Vincent and the Grenadines",10000,0.12,89.1606983440812,4
"101",-0.237063601895421,-0.650727952610846,0.930811778135918,"San Marino",10000,0.07,89.9999498936555,4
"102",-0.237063601895421,-0.18280759493449,0.811033180783977,"Sao Tome and Principe",10000,0.1,87.8050323097337,4
"103",-0.237063601895421,-0.494754500052061,0.723822651768079,"Senegal",10000,0.08,86.2069177227205,4
"104",-0.237063601895421,0.12913931018308,0.867631216118589,"Seychelles",10000,0.12,88.842179393752,4
"105",-0.237063601895421,1.06498002553579,0.634587294319032,"Singapore",10000,0.18,84.571698580882,4
"106",-0.237063601895421,-0.650727952610846,-0.0055514087315344,"Slovakia",10000,0.07,72.8412915921762,4
"107",-0.237063601895421,-0.962674857728417,0.332679281052035,"Slovenia",10000,0.05,79.0392977872782,4
"108",-0.237063601895421,-0.18280759493449,0.905239396850905,"South Sudan",10000,0.1,89.5313413894141,4
"109",-0.237063601895421,0.12913931018308,0.90798893323867,"Suriname",10000,0.12,89.5817260649618,4
"110",-0.169744777540385,-0.0268341423757051,-0.104194137344952,"Sweden",20000,0.11,71.0336843539361,4
"111",-0.237063601895421,-0.338781047493276,0.673114712522771,"Syria",10000,0.09,85.2777054097149,4
"112",-0.237063601895421,-1.74254212052234,0.930810241165122,"Taiwan*",10000,0,89.9999217289892,4
"113",-0.237063601895421,-0.18280759493449,0.930810241165122,"Thailand",10000,0.1,89.9999217289892,4
"114",-0.237063601895421,-0.18280759493449,0.847367328166696,"Togo",10000,0.1,88.4708479124395,4
"115",-0.237063601895421,-0.494754500052061,0.744520336338593,"Trinidad and Tobago",10000,0.08,86.5861984357581,4
"116",-0.237063601895421,-0.806701405169632,0.560171554518013,"Tunisia",10000,0.06,83.2080458130183,4
"117",-0.237063601895421,-0.494754500052061,0.659244359488764,"Uganda",10000,0.08,85.0235341099785,4
"118",-0.237063601895421,0.909006572977007,0.176449873091482,"United Arab Emirates",10000,0.17,76.1764267715929,4
"119",-0.237063601895421,-0.962674857728417,0.930810591656243,"Uruguay",10000,0.05,89.9999281516652,4
"120",-0.237063601895421,-0.650727952610846,0.710714973200648,"Venezuela",10000,0.07,85.9667222720465,4
"121",-0.237063601895421,-1.74254212052234,0.930810241165122,"Vietnam",10000,0,89.9999217289892,4
"122",-0.237063601895421,-0.806701405169632,0.117614819317936,"West Bank and Gaza",10000,0.06,75.0982867955578,4
"123",-0.237063601895421,-0.18280759493449,0.683447222616841,"Western Sahara",10000,0.1,85.467046482268,4
"124",-0.237063601895421,-0.0268341423757051,0.930811666979012,"Yemen",10000,0.11,89.9999478567286,4
"125",-0.237063601895421,-0.338781047493276,0.73028261611253,"Zambia",10000,0.09,86.3252952095555,4
"126",-0.237063601895421,-0.338781047493276,0.930810481923151,"Zimbabwe",10000,0.09,89.9999261408294,4
"127",-0.237063601895421,-0.494754500052061,-0.854901732521877,"Argentina",10000,0.08,57.2771256909891,3
"128",-0.169744777540385,-0.0268341423757051,-1.90574166076148,"Austria",20000,0.11,38.0207052004142,3
"129",-0.237063601895421,1.84484728832972,-1.43326310303304,"Bangladesh",10000,0.23,46.6787753173738,3
"130",-0.237063601895421,1.37692693065336,-1.25876340115162,"Belarus",10000,0.2,49.8764456233905,3
"131",-0.0351071288303142,0.909006572977007,-0.642771983328179,"Belgium",40000,0.17,61.164358693143,3
"132",0.0995305198797568,0.597059667859436,-1.29203741293587,"Brazil",60000,0.15,49.2667063613896,3
"133",-0.237063601895421,0.909006572977007,-0.997340849875041,"Cabo Verde",10000,0.17,54.666958847925,3
"134",-0.237063601895421,-0.650727952610846,-1.03320992090332,"Cameroon",10000,0.07,54.0096656715191,3
"135",-0.237063601895421,1.06498002553579,-2.12658290963768,"Chile",10000,0.18,33.973835800288,3
"136",0.234168168589828,1.53290038321215,-2.99111320915085,"China",80000,0.21,18.1315000392581,3
"137",-0.237063601895421,-0.18280759493449,-1.36366398753622,"Colombia",10000,0.1,47.9541644587285,3
"138",-0.237063601895421,-0.338781047493276,-0.624228187160452,"Cuba",10000,0.09,61.5041698545779,3
"139",-0.237063601895421,-0.338781047493276,-3.20827554036072,"Czechia",10000,0.09,14.1520460309811,3
"140",-0.237063601895421,-0.0268341423757051,-1.79308096253816,"Denmark",10000,0.11,40.0851887810717,3
"141",-0.237063601895421,0.909006572977007,-1.4601616057247,"Djibouti",10000,0.17,46.1858659174947,3
"142",-0.237063601895421,-0.0268341423757051,-1.24650509133428,"Dominican Republic",10000,0.11,50.1010765705052,3
"143",-0.237063601895421,1.06498002553579,-1.94992746793627,"Ecuador",10000,0.18,37.211009584738,3
"144",0.772718763430111,1.22095347809458,-0.127266902213162,"France",160000,0.19,70.6108807943809,3
"145",0.705399939075076,0.753033120418222,-0.45136221872911,"Germany",150000,0.16,64.6719023390114,3
"146",-0.237063601895421,0.12913931018308,-0.698743550799043,"Guinea",10000,0.12,60.1386915008608,3
"147",-0.237063601895421,-0.338781047493276,-0.655003815467151,"Hungary",10000,0.09,60.940212943911,3
"148",-0.237063601895421,0.285112762741866,-1.61976236372253,"Indonesia",10000,0.13,43.2612156220219,3
"149",0.301486992944863,0.12913931018308,-1.73285217008792,"Iran",90000,0.12,41.1888687249851,3
"150",-0.10242595318535,0.12913931018308,-1.28574769276443,"Ireland",30000,0.12,49.3819641595895,3
"151",-0.169744777540385,-0.0268341423757051,-1.30329160937008,"Israel",20000,0.11,49.060475580662,3
"152",0.907356412140182,0.285112762741866,-0.853222895970445,"Italy",180000,0.13,57.3078900174108,3
"153",-0.237063601895421,-0.18280759493449,-1.12808595956446,"Kazakhstan",10000,0.1,52.2710822337926,3
"154",-0.237063601895421,1.22095347809458,-1.66930795322969,"Korea, South",10000,0.19,42.3533031233014,3
"155",-0.237063601895421,-0.338781047493276,-0.919791509748962,"Kosovo",10000,0.09,56.0880341821446,3
"156",-0.237063601895421,-0.650727952610846,-1.0316250992987,"Luxembourg",10000,0.07,54.0387071938299,3
"157",-0.237063601895421,1.37692693065336,-1.65866163352155,"Martinique",10000,0.2,42.5483946909775,3
"158",-0.169744777540385,0.285112762741866,-1.00257554440725,"Mexico",20000,0.13,54.5710341724886,3
"159",-0.237063601895421,-0.18280759493449,-1.12404436890369,"Moldova",10000,0.1,52.3451435319248,3
"160",-0.237063601895421,-0.18280759493449,-0.865895425928385,"Morocco",10000,0.1,57.07566857341,3
"161",-0.0351071288303142,0.285112762741866,-1.79685938515844,"Netherlands",40000,0.13,40.0159499818866,3
"162",-0.237063601895421,-0.338781047493276,-1.0746888164891,"Niger",10000,0.09,53.2495736409255,3
"163",-0.237063601895421,-0.338781047493276,-1.90803649998877,"Norway",10000,0.09,37.9786527546216,3
"164",-0.237063601895421,0.441086215300651,-1.5594131443346,"Pakistan",10000,0.14,44.3671023642193,3
"165",-0.237063601895421,-0.18280759493449,-1.6991876887153,"Panama",10000,0.1,41.8057632600017,3
"166",-0.169744777540385,1.84484728832972,-1.86681631961949,"Peru",20000,0.23,38.7340038833307,3
"167",-0.237063601895421,0.909006572977007,-2.10451932678959,"Poland",10000,0.17,34.3781463117502,3
"168",-0.169744777540385,1.22095347809458,-2.21285366605016,"Portugal",20000,0.19,32.3929423484168,3
"169",-0.237063601895421,0.753033120418222,-1.67243146106499,"Romania",10000,0.16,42.296065499696,3
"170",-0.237063601895421,0.597059667859436,-1.78386815303859,"Serbia",10000,0.15,40.2540115759197,3
"171",0.0322116955247213,2.0008207408885,-0.845247715980556,"Somalia",50000,0.24,57.4540335120062,3
"172",-0.237063601895421,-0.650727952610846,-0.922423068950414,"South Africa",10000,0.07,56.0398114137027,3
"173",1.04199406085025,0.909006572977007,-0.707228617960259,"Spain",2e+05,0.17,59.9832044311785,3
"174",-0.10242595318535,0.597059667859436,-2.12924454599114,"Switzerland",30000,0.15,33.9250618743665,3
"175",-0.237063601895421,1.37692693065336,-0.924123718558113,"Timor-Leste",10000,0.2,56.0086473676164,3
"176",0.436124641654934,1.06498002553579,-2.25427657714802,"Turkey",110000,0.18,31.63387622178,3
"177",-0.237063601895421,0.597059667859436,-1.46028825083737,"Ukraine",10000,0.15,46.183545172463,3
"178",0.705399939075076,0.753033120418222,-0.148352704696478,"United Kingdom",150000,0.16,70.2244879022873,3
"179",-0.237063601895421,0.12913931018308,-1.34536357736984,"Uzbekistan",10000,0.12,48.2895156229198,3
"180",3.80206585940671,-0.18280759493449,0.925925351375428,"Saudi Arabia",610000,0.1,89.910407151828,2
"181",6.42750000925309,1.06498002553579,0.171387939720667,"Sierra Leone",1e+06,0.18,76.0836679080741,2
"182",6.42750000925309,1.06498002553579,0.919873227440823,"Sudan",1e+06,0.18,89.7995032546559,2
"183",6.42750000925309,1.37692693065336,0.212571532808605,"Tanzania",1e+06,0.2,76.8383485825538,2
"184",5.41771764392756,0.909006572977007,-1.58810933832704,"US",850000,0.17,43.8412506496549,2
"185",-0.237063601895421,8.23975884323992,0.930811444767379,"Cambodia",10000,0.64,89.9999437847472,1
"186",-0.237063601895421,5.90015705485814,0.930810607991715,"Sri Lanka",10000,0.49,89.9999284510093,1
